symbol,matched,live_entry,bt_entry,entry_gap_min,live_entry_px,bt_entry_px,entry_px_diff_bps,live_exit_px,bt_exit_px,exit_px_diff_bps,live_hold_h,bt_hold_h,live_pnl_pct,bt_pnl_pct
MARA,False,2026-06-16 14:19:48.125248+00:00,,,,,,,,,,,,
MARA,False,2026-06-16 14:19:51.084462+00:00,,,,,,,,,,,,
MARA,False,2026-06-16 14:19:51.872610+00:00,,,,,,,,,,,,
MARA,False,2026-06-16 14:19:52.209649+00:00,,,,,,,,,,,,
MARA,False,2026-06-22 16:13:35.357158+00:00,,,,,,,,,,,,
MARA,False,2026-06-22 16:13:36.239887+00:00,,,,,,,,,,,,
MARA,False,2026-06-22 16:13:36.546250+00:00,,,,,,,,,,,,
MARA,False,2026-06-22 16:13:37.150884+00:00,,,,,,,,,,,,
META,False,2026-06-15 23:24:18.523089+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:17.322479+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:17.652891+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:17.652891+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:18.275002+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:18.275002+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:19.215551+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:19.215551+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:19.215551+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:19.433383+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:19.433383+00:00,,,,,,,,,,,,
MRNA,False,2026-05-07 13:42:19.433383+00:00,,,,,,,,,,,,
MRNA,False,2026-06-11 17:55:46.988386+00:00,,,,,,,,,,,,
MRNA,False,2026-06-11 17:55:46.988386+00:00,,,,,,,,,,,,
MRNA,False,2026-06-11 17:55:47.564994+00:00,,,,,,,,,,,,
MRNA,False,2026-06-11 17:55:48.497085+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 17:23:09.565152+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 17:23:09.570800+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 17:23:10.576171+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 17:23:10.996702+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 17:23:11.829546+00:00,,,,,,,,,,,,
MRNA,False,2026-06-16 19:24:43.190973+00:00,,,,,,,,,,,,
