symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_pct,hold_hours,same_day_round_trip,entry_extended_hours,exit_extended_hours,source
NKE,2026-07-01 13:37:00.087781+00:00,2026-08-27 17:55:53.808403+00:00,40.39,38.24,168.0,-361.19999999999976,-0.05323099777172564,1372.3149223950002,False,True,False,live
MARA,2026-08-27 14:01:01.116877+00:00,2026-08-28 13:31:14.434566+00:00,11.67,11.52,2239.0,-335.8500000000008,-0.012853470437018025,23.503699358055556,False,True,False,live
ACHR,2026-08-26 13:51:23.465586+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,592.0,-201.27999999999992,-0.05592105263157892,47.952366633333334,False,True,False,live
ACHR,2026-08-26 13:51:24.097970+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,120.0,-40.79999999999998,-0.05592105263157892,47.952190971111115,False,True,False,live
ACHR,2026-08-26 13:51:24.095164+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,47.0,-15.979999999999993,-0.05592105263157892,47.952191750555556,False,True,False,live
ACHR,2026-08-26 13:51:24.670927+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,401.0,-136.33999999999995,-0.05592105263157892,47.952031816388896,False,True,False,live
ACHR,2026-08-26 13:51:22.923135+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,2474.0,-841.1599999999996,-0.05592105263157892,47.95251731416666,False,True,False,live
ACHR,2026-08-26 13:51:23.468250+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,23.0,-7.819999999999997,-0.05592105263157892,47.95236589333334,False,True,False,live
ACHR,2026-08-26 13:51:22.539235+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,614.0,-208.7599999999999,-0.05592105263157892,47.95262395305556,False,True,False,live
ACHR,2026-08-26 13:51:22.537051+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,937.0,-318.57999999999987,-0.05592105263157892,47.95262455972222,False,True,False,live
ACHR,2026-08-26 13:51:21.923718+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,2066.0,-702.4399999999997,-0.05592105263157892,47.95279493,False,True,False,live
ACHR,2026-08-26 13:51:21.391643+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,536.0,-182.23999999999992,-0.05592105263157892,47.95294272861111,False,True,False,live
ACHR,2026-08-26 13:51:22.920704+00:00,2026-08-28 13:48:31.985466+00:00,6.08,5.74,447.0,-151.97999999999993,-0.05592105263157892,47.952517989444445,False,True,False,live
SOFI,2026-08-19 17:37:30.728326+00:00,2026-08-28 14:44:58.779241+00:00,18.43,18.71,239.0,66.92000000000027,0.015192620727075482,213.12445858750002,False,True,False,live
SOFI,2026-08-19 17:37:31.812152+00:00,2026-08-28 14:44:58.779241+00:00,18.43,18.71,641.0,179.48000000000073,0.015192620727075482,213.12415752472222,False,True,False,live
SOFI,2026-08-19 17:37:31.812152+00:00,2026-08-28 14:44:59.228777+00:00,18.43,18.71,370.0,103.60000000000042,0.015192620727075482,213.12428239583332,False,True,False,live
SOFI,2026-08-19 17:37:32.719557+00:00,2026-08-28 14:44:59.228777+00:00,18.43,18.71,240.0,67.20000000000027,0.015192620727075482,213.1240303388889,False,True,False,live
SOFI,2026-08-19 17:37:33.565827+00:00,2026-08-28 14:44:59.228777+00:00,18.43,18.71,10.0,2.8000000000000114,0.015192620727075482,213.1237952638889,False,True,False,live
SOFI,2026-08-19 17:37:33.903031+00:00,2026-08-28 14:44:59.228777+00:00,18.43,18.71,41.0,11.480000000000047,0.015192620727075482,213.12370159611112,False,True,False,live
ENPH,2026-08-27 16:12:19.192591+00:00,2026-08-28 15:50:42.019331+00:00,39.02,37.01,398.0,-799.9800000000021,-0.05151204510507445,23.639674094444445,False,True,False,live
ENPH,2026-08-27 16:12:21.938276+00:00,2026-08-28 15:50:42.455919+00:00,39.02,37.01,405.0,-814.0500000000021,-0.05151204510507445,23.639032678611112,False,True,False,live
ENPH,2026-08-27 16:12:21.022774+00:00,2026-08-28 15:50:42.455919+00:00,39.02,37.01,253.0,-508.5300000000013,-0.05151204510507445,23.639286984722222,False,True,False,live
ENPH,2026-08-27 16:12:19.192591+00:00,2026-08-28 15:50:42.455919+00:00,39.02,37.01,261.0,-524.6100000000014,-0.05151204510507445,23.63979536888889,False,True,False,live
SNAP,2026-08-28 14:00:00.591856+00:00,2026-08-31 13:31:48.268500+00:00,5.51,5.62,488.0,53.680000000000156,0.0199637023593467,71.52991017888888,False,True,False,live
